Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
2018-04-08,1:53 PM,61,20,21,W,20,26,24.34,0.0,Mostly Cloudy
2018-04-08,2:53 PM,63,21,20,WNW,20,29,24.33,0.0,Partly Cloudy
2018-04-08,3:53 PM,63,19,18,WNW,23,33,24.33,0.0,Partly Cloudy / Windy
2018-04-08,4:53 PM,62,20,20,W,15,0,24.34,0.0,Partly Cloudy
2018-04-08,5:53 PM,61,19,20,W,21,25,24.36,0.0,Mostly Cloudy / Windy
2018-04-08,6:53 PM,56,22,27,W,29,41,24.38,0.0,Cloudy / Windy
2018-04-09,6:53 AM,37,34,89,NNE,17,0,24.67,0.0,Cloudy
2018-04-09,7:53 AM,33,32,96,NE,10,0,24.70,0.0,Light Snow
2018-04-10,11:53 AM,62,21,21,VAR,5,0,24.70,0.0,Mostly Cloudy
2018-04-10,12:53 PM,65,20,18,VAR,5,17,24.68,0.0,Mostly Cloudy
2018-04-10,1:53 PM,67,22,18,WNW,10,16,24.65,0.0,Mostly Cloudy
2018-04-10,2:53 PM,69,21,16,NW,8,0,24.63,0.0,Mostly Cloudy
2018-04-10,3:53 PM,70,20,15,VAR,5,0,24.61,0.0,Mostly Cloudy
2018-04-10,4:53 PM,71,15,12,W,21,30,24.59,0.0,Mostly Cloudy / Windy
2018-04-10,5:53 PM,69,16,13,WNW,13,0,24.60,0.0,Mostly Cloudy
2018-04-10,6:53 PM,67,19,16,W,12,0,24.60,0.0,Mostly Cloudy
2018-04-10,7:53 PM,64,19,18,W,7,0,24.60,0.0,Mostly Cloudy
2018-04-10,8:53 PM,65,17,16,CALM,0,0,24.60,0.0,Mostly Cloudy
2018-04-10,10:53 PM,49,28,44,S,12,0,24.57,0.0,Mostly Cloudy
2018-04-10,11:53 PM,54,25,33,SSW,12,0,24.55,0.0,Mostly Cloudy
2018-04-12,12:53 PM,66,33,29,NNW,8,0,24.13,0.0,Mostly Cloudy
2018-04-12,1:53 PM,72,32,23,NE,8,0,24.11,0.0,Mostly Cloudy
2018-04-12,2:53 PM,74,29,19,ENE,8,0,24.07,0.0,Mostly Cloudy
2018-04-12,3:53 PM,76,21,13,WSW,21,29,24.03,0.0,Mostly Cloudy / Windy
